Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
19-10-2016,Endurance Techn,1161,1.7,0.13,0.82,472,572,647.7,37.22,1385.8,193.6
07-11-2016,PNB Housing Fin,3000,37.33,86.17,1.32,775,860,890.6,14.92,450.05,-41.93
08-11-2016,Varun Beverages,1114,4.94,0.42,0.82,445,430,205.29,-53.87,952.7,114.09
09-12-2016,Sheela Foam,178.5,14.51,3.35,0.44,730,860,1032,41.37,3264.3,347.16
19-12-2016,Laurus Labs,560.7,10.54,3.57,1.58,428,489.9,96.1,-77.55,551.9,28.95
03-02-2017,BSE Limited,1243,48.64,159.03,6.48,806,1085,1069.2,32.66,2262.8,180.74
17-03-2017,Music Broadcast,488.53,39.78,109.13,9.85,333,413,59.7,-82.07,24,-92.79
21-03-2017,Avenue Supermar,1870,144.61,277.74,7.3,299,604,640.75,114.3,4070.7,1261.44
31-03-2017,CL Educate,238.95,3.65,0.21,1.63,500,398,208.95,-58.21,125.05,-74.99
05-04-2017,Shankara Buildi,232.96,51.62,90.68,15.35,460,545,632.8,37.57,707.6,53.83
09-05-2017,S Chand and Co,325,44.27,204.65,6.07,670,675.85,675.85,0.87,109.2,-83.7
19-05-2017,HUDCO,1224,55.45,330.36,10.79,58,76.5,72.5,25,36.1,-37.76
29-05-2017,PSP Projects,211.68,8.38,10.39,6.47,210,195,208.95,-0.5,536.15,155.31
06-06-2017,IndiGrid InvIT ,2250,1.14,1.6,0,100,99.7,95.08,-4.92,150.03,50.03
27-06-2017,Tejas Networks,326.69,2.16,0.48,3.1,257,257.7,263.3,2.45,445,73.15
29-06-2017,Eris Life,1741.1,4.68,0.45,3.51,603,612,601.05,-0.32,709.75,17.7
30-06-2017,CDSL,523.99,148.71,563.03,23.83,149,250,261.6,75.57,1468.1,885.3
04-07-2017,GTPL Hathway,484.8,1.48,2.48,0.99,170,170,171.65,0.97,210.95,24.09
10-07-2017,AU Small Financ,1912.51,78.77,143.51,3.52,358,544,541.2,51.17,1262.8,252.74
25-07-2017,Salasar Techno ,35.87,0,487.18,58.59,108,259.45,272.1,151.94,215.75,99.77
10-08-2017,SIS,362.25,5.64,1.65,18.67,815,875,378.35,-53.58,502.05,-38.4
11-08-2017,Cochin Shipyard,1454,63.51,288.87,8.12,432,461,522,20.83,313.2,-27.5
04-09-2017,Apex Frozen,152.25,1.91,7.82,8.53,175,202,209.85,19.91,291.75,66.71
18-09-2017,Bharat Road Net,600.65,1.33,1.63,5.16,205,205,208.15,1.54,38.9,-81.02
18-09-2017,Dixon Technolog,599.28,134.66,345.62,9.46,1766,2725,578.56,-67.24,4067,130.29
21-09-2017,Matrimony.com,501.07,1.88,0.41,18.16,985,985,901.2,-8.51,758,-23.05
25-09-2017,Capacite Infra,400,131.32,638.05,17.57,250,360,342.4,36.96,139.25,-44.3
27-09-2017,ICICI Lombard ,5700.94,8.93,0.83,1.23,661,651,681.55,3.11,1283.25,94.14
03-10-2017,SBI Life Insura,8400,12.56,0.7,0.81,700,735,708,1.14,1147,63.86
